Model,Metric,Comparison,Mean,Lower,Upper
Lasso regression,Precision,S4 - S1,0.007723600577192138,-0.0480095295039114,0.0564137306391126
Lasso regression,Precision,S4 - S2,0.009585677119018756,-0.053502881205673765,0.06313488142292463
Lasso regression,Precision,S4 - S3,0.003104378758274392,-0.0417652027027027,0.03633968994012069
Lasso regression,Precision,S4 - S4,0.0,0.0,0.0
Lasso regression,Precision,S4 - S5,-0.0015151830716746168,-0.027195373062015495,0.019400371640937608
Lasso regression,Precision,S5 - S1,0.009238783648866752,-0.05207836581657335,0.07024033437826527
Lasso regression,Precision,S5 - S2,0.011100860190693373,-0.05207836581657335,0.06730618519411605
Lasso regression,Precision,S5 - S3,0.004619561829949008,-0.039355203619909504,0.049412652733877266
Lasso regression,Precision,S5 - S4,0.0015151830716746168,-0.019400371640937667,0.027195373062015474
Lasso regression,Precision,S5 - S5,0.0,0.0,0.0
Lasso regression,Sensitivity,S1 - S1,0.0,0.0,0.0
